run_id,mode,prompt_id,repetition,conversation_id,duration_seconds,timed_out,task_completed,strict_full_execution,final_output_usable,final_response_visible,final_response_is_error,final_response_chars,business_send_message_calls,model_send_message_tool_calls,blocked_send_message_calls,a2a_trace_records,all_host_tool_calls,used_agent_count,used_agents,required_group_coverage,required_group_coverage_ratio,exclusive_branch_violations,exact_protocol_sequence,repeated_agent_task,redundant_business_calls,failed_remote_tasks,tool_call_leak_in_final,finalize_protocol_calls,validation_log_markers,output_transport_complete,output_hotel_complete,output_ticket_complete,output_weather_adapted,output_daily_routes_complete,output_budget_complete,output_completeness_score_0_6,c1_weather_itinerary_evidence,c2_weather_transport_evidence,c3_guide_ticket_evidence,c4_itinerary_budget_hotel_evidence,c5_daily_route_evidence,c6_expense_per_capita_evidence,automatic_task_point_evidence_0_6,process_score_0_10,message_count,event_count,task_count
validation_on-travel-simplified-r11,validation_on,travel-simplified,11,21fb1e2f-f959-4735-bc29-47cae67dda93,552.868,False,True,True,True,True,False,4646,8,9,1,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r12,validation_on,travel-simplified,12,9fec072d-31b1-4a6d-80d5-2f4763fbcd55,647.272,False,True,False,True,True,False,4372,6,9,3,12,14,6,Guide Agent|Hotel Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,6/8,0.75,0,False,False,0,0,False,3,10,True,True,True,True,True,False,5,True,True,True,True,False,False,4,6.25,2,24,0
validation_on-travel-simplified-r13,validation_on,travel-simplified,13,e25a4514-a6ba-411c-ae5d-ee528a609d50,250.257,False,True,False,True,True,False,248,2,8,6,4,11,2,Guide Agent|Weather Agent,2/8,0.25,0,False,False,0,0,False,1,7,False,False,False,False,False,False,0,False,False,False,False,False,False,0,4.75,2,8,0
validation_on-travel-simplified-r14,validation_on,travel-simplified,14,0e9603fc-7bdf-4b03-b68c-414260a65d35,632.931,False,True,True,True,True,False,4161,8,9,1,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r15,validation_on,travel-simplified,15,1c25fd99-0b7b-4e7f-992e-1d2817de01d1,247.033,False,True,False,False,True,False,9570,3,4,1,6,8,3,Guide Agent|Transport Select Agent|Weather Agent,3/8,0.375,0,False,False,0,0,True,1,2,False,False,False,False,False,False,0,True,False,False,False,False,False,1,4.12,2,12,0
validation_on-travel-simplified-r16,validation_on,travel-simplified,16,0503c122-51f3-44ac-921f-c7497fb75923,65.819,False,False,False,False,True,True,90,1,1,0,2,3,1,Weather Agent,1/8,0.125,0,False,False,0,1,False,0,6,False,False,False,False,False,False,0,False,False,False,False,False,False,0,1.38,2,5,0
validation_on-travel-simplified-r17,validation_on,travel-simplified,17,402cfd08-4977-4b5e-a034-595b0b9f3e82,922.309,False,True,True,True,True,False,3892,8,11,3,16,15,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,5,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,28,0
validation_on-travel-simplified-r18,validation_on,travel-simplified,18,3933b443-4fd0-42e1-84a4-b17ab4b7c3f3,589.671,False,True,True,True,True,False,3898,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r19,validation_on,travel-simplified,19,d2282c95-0afb-4240-a193-9512cd760964,589.031,False,True,True,True,True,False,4510,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r20,validation_on,travel-simplified,20,fb905881-4fb6-425a-b2dc-fbe3e2819e21,613.307,False,True,True,True,True,False,4102,8,11,3,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,28,0
validation_on-travel-simplified-r21,validation_on,travel-simplified,21,760b8afa-d01c-4c09-8d19-d0b20d7962cb,618.087,False,True,True,True,True,False,5809,8,9,1,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,False,True,True,True,True,True,5,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r22,validation_on,travel-simplified,22,3f8e4836-7e00-4a73-8092-fc71cdb43146,501.229,False,True,True,True,True,False,4019,8,8,0,16,10,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,1,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,22,0
validation_on-travel-simplified-r23,validation_on,travel-simplified,23,2a6d3895-3b06-49b8-84cb-b16246aa7555,687.29,False,True,False,True,True,False,5167,5,9,4,10,11,5,Guide Agent|Hotel Agent|Train Agent|Transport Select Agent|Weather Agent,5/8,0.625,0,False,False,0,0,False,1,8,True,True,True,True,True,False,5,True,True,False,True,False,False,3,5.88,2,15,0
validation_on-travel-simplified-r24,validation_on,travel-simplified,24,98338a61-d31b-4786-8d18-fa147eef1d18,569.9,False,True,True,True,True,False,3841,8,9,1,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r25,validation_on,travel-simplified,25,67443b21-bf6d-4f3b-9739-2252d20a59c8,617.574,False,True,True,True,True,False,4528,8,10,2,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,5,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r26,validation_on,travel-simplified,26,9cb633d6-70e1-4b26-b512-a4f89fe380bb,480.849,False,True,True,True,True,False,4554,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r27,validation_on,travel-simplified,27,ae532cd5-0060-4a0d-a207-141b889495ae,753.974,False,True,True,True,True,False,4987,8,9,1,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,1,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r28,validation_on,travel-simplified,28,6059405e-6c03-4be5-9e1c-10e599bbee02,476.866,False,False,False,False,True,True,67,8,9,1,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,0,4,False,False,False,False,False,False,0,False,True,True,True,False,False,3,8.0,2,22,0
validation_on-travel-simplified-r29,validation_on,travel-simplified,29,86483d8c-d8e9-4047-af42-1decd9672eb4,774.17,False,True,True,True,True,False,4689,8,9,1,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,1,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r30,validation_on,travel-simplified,30,609d1688-4ae7-4853-aad4-a977fb79009e,711.969,False,True,True,True,True,False,3133,8,10,2,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r31,validation_on,travel-simplified,31,92b5e787-b8b3-48cf-8230-f7cbc66585d6,695.793,False,True,True,True,True,False,5180,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r32,validation_on,travel-simplified,32,0291c865-921d-46cd-b1d2-a56f04f45449,812.712,False,True,True,True,True,False,4835,8,11,3,16,16,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,3,7,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r33,validation_on,travel-simplified,33,84d2d814-3c9e-4268-aa2f-bfa7fdccf457,636.509,False,True,True,True,True,False,3313,8,9,1,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r34,validation_on,travel-simplified,34,44ce104d-9f60-41ab-8393-f4d17619d290,610.143,False,True,True,True,True,False,4982,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r35,validation_on,travel-simplified,35,d4d03021-37ef-4229-9e89-48a40b2a8077,896.203,False,True,True,True,True,False,4466,8,9,1,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r36,validation_on,travel-simplified,36,7d799256-949a-4bce-b4dd-5d3c4bb34446,457.031,False,True,True,True,True,False,4369,8,8,0,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r37,validation_on,travel-simplified,37,de6e93fd-539a-4b40-b7fc-8d8b95fbab11,789.456,False,True,True,True,True,False,3820,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,4,True,True,True,True,True,True,6,True,True,True,False,True,True,5,10.0,2,26,0
validation_on-travel-simplified-r38,validation_on,travel-simplified,38,c396d735-2de6-47ff-b603-79fbc1ddfc4c,669.68,False,True,True,True,True,False,4475,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,4,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r39,validation_on,travel-simplified,39,1e054a7a-3662-405d-92f9-a09dd9f48046,635.298,False,True,True,True,True,False,5181,8,9,1,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r40,validation_on,travel-simplified,40,75322cda-7a88-45d2-9a09-c4841e977d84,399.133,False,True,False,False,True,False,22186,5,8,3,10,9,5,Guide Agent|Hotel Agent|Train Agent|Transport Select Agent|Weather Agent,5/8,0.625,0,False,False,0,0,True,0,3,False,False,False,False,False,False,0,True,True,False,False,False,False,2,4.88,2,14,0
validation_on-travel-simplified-r41,validation_on,travel-simplified,41,8dad7a94-c278-4e15-a78d-6eb4758acc5f,775.665,False,True,True,True,True,False,4714,8,11,3,16,13,8,Budget Agent|Flight Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,4,True,True,True,True,True,True,6,True,False,True,True,True,True,5,10.0,2,26,0
validation_on-travel-simplified-r42,validation_on,travel-simplified,42,5f3c0c8a-314e-489a-b064-024e263c8579,589.979,False,True,True,True,True,False,4789,8,10,2,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r43,validation_on,travel-simplified,43,17ef0d45-3581-4914-a4c4-22f8116f59c7,332.574,False,True,False,False,True,False,61,5,6,1,10,9,5,Guide Agent|Hotel Agent|Train Agent|Transport Select Agent|Weather Agent,5/8,0.625,0,False,False,0,0,False,0,2,False,False,False,False,False,False,0,False,True,False,True,False,False,2,5.88,2,16,0
validation_on-travel-simplified-r44,validation_on,travel-simplified,44,39400b7b-449e-443d-a19a-ca4dd3d64c4c,645.84,False,True,True,True,True,False,5093,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r45,validation_on,travel-simplified,45,fa5ab2f6-4909-4e9a-98d3-da8bbd47df14,760.431,False,True,True,True,True,False,3764,8,9,1,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,28,0
validation_on-travel-simplified-r46,validation_on,travel-simplified,46,f38e1fdd-b157-43c9-9557-0cf4118e9b6a,708.53,False,True,True,True,True,False,4432,8,10,2,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,28,0
validation_on-travel-simplified-r47,validation_on,travel-simplified,47,4166152b-dbff-4ebc-b178-f227ac3f758f,676.537,False,True,True,True,True,False,5748,8,9,1,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r48,validation_on,travel-simplified,48,2fe11654-478d-471b-bfde-aee6717835dd,572.637,False,True,True,True,True,False,3053,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,4,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r49,validation_on,travel-simplified,49,0e5c98a2-cac3-400c-8105-cef1a5576b43,892.0,False,True,True,True,True,False,5272,8,10,2,16,14,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,4,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,28,0
validation_on-travel-simplified-r50,validation_on,travel-simplified,50,6ea78554-ffc6-46a2-b8ba-729951eeb365,648.123,False,True,True,True,True,False,4537,8,9,1,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r51,validation_on,travel-simplified,51,630f5515-f896-4fde-b4b0-744ba790a83f,574.955,False,False,False,False,True,True,67,7,9,2,14,12,7,Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,7/8,0.875,0,False,False,0,0,False,0,6,False,False,False,False,False,False,0,False,True,True,True,False,False,3,4.62,2,22,0
validation_on-travel-simplified-r52,validation_on,travel-simplified,52,0c45840a-1d3e-4f75-88c8-429e2c46a471,578.294,False,True,False,True,True,False,3440,5,6,1,10,7,5,Guide Agent|Hotel Agent|Train Agent|Transport Select Agent|Weather Agent,5/8,0.625,0,False,False,0,0,False,0,2,False,True,True,True,True,False,4,True,True,False,True,False,False,3,5.88,2,16,0
validation_on-travel-simplified-r53,validation_on,travel-simplified,53,4ffa4e38-0346-490e-b67d-c3a9c6a840f3,586.978,False,True,True,True,True,False,4228,8,10,2,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r54,validation_on,travel-simplified,54,ffd88cc3-0344-4e08-9ffd-a5723735e6c8,595.9,False,True,True,True,True,False,5274,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r55,validation_on,travel-simplified,55,d59bd992-4cba-4524-8c2d-615e7d6aec3c,538.616,False,True,True,True,True,False,3822,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r56,validation_on,travel-simplified,56,34c82472-bee4-4e20-aa0f-985b1f51f9a1,705.538,False,True,True,True,True,False,4460,8,10,2,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,28,0
validation_on-travel-simplified-r57,validation_on,travel-simplified,57,24e308a1-9487-4bbb-8899-9b01ea717f28,634.425,False,True,True,True,True,False,4654,8,10,2,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r58,validation_on,travel-simplified,58,a28deffa-1a48-44b7-8ef1-1de95e8d3824,631.502,False,True,True,True,True,False,4493,8,10,2,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r59,validation_on,travel-simplified,59,5a7a2dac-a76c-49de-bead-7002ff46539e,638.495,False,True,True,True,True,False,3885,8,9,1,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r60,validation_on,travel-simplified,60,aef67a99-4a57-421c-bb4d-8715cc9be3d0,73.016,False,False,False,False,True,True,90,1,1,0,2,3,1,Weather Agent,1/8,0.125,0,False,False,0,1,False,0,6,False,False,False,False,False,False,0,False,False,False,False,False,False,0,1.38,2,7,0
validation_on-travel-simplified-r61,validation_on,travel-simplified,61,341d97a3-a90a-422b-83b4-5190d7d7db95,924.262,False,False,False,False,True,True,89,6,7,1,12,8,6,Guide Agent|Hotel Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,6/8,0.75,0,False,False,0,1,False,0,2,False,False,False,False,False,False,0,False,True,True,True,False,False,3,3.25,2,17,0
validation_on-travel-simplified-r62,validation_on,travel-simplified,62,eb65be4e-ec30-4010-b1c2-da24fb5c2679,479.199,False,True,False,True,True,False,5584,5,8,3,10,11,5,Guide Agent|Hotel Agent|Train Agent|Transport Select Agent|Weather Agent,5/8,0.625,0,False,False,0,0,False,1,6,True,True,True,True,True,False,5,True,True,False,True,False,False,3,5.88,2,16,0
validation_on-travel-simplified-r63,validation_on,travel-simplified,63,3b57176a-5e4a-412a-b7d6-f9ece6f13cab,631.822,False,True,True,True,True,False,3754,8,9,1,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r64,validation_on,travel-simplified,64,f8482fb2-1b6e-49a6-9350-8344f28ad36b,640.241,False,True,True,True,True,False,4648,8,10,2,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
